content,label
 The workflows contain the steps of the.,-1
 DR for the MT and DB.,-1
 As and when required we can pause and skip during the recovery.,-1
 Tool.,-1
 tested and verified by the On Demand Operations and Customers like GE,-1
 Xerox,-1
 RIT etc..,-1
 Client: On Demand Operations,-1
 Oracle Bangalore.,-1
 Roles and Responsibilities:.,-1
 Developed all the plug-in needed for the recovery which include Database Plug-in,-1
 E-business.,-1
 Suite Plug-in..,-1
 Monitoring and Support 24/7.,-1
 Team Size: 2.,-1
 Software /Tools: Shell and Expect scripting.. .,-1
 4) DR Solution for R12 (E-Business Suite).,-1
 It involves setting up the primary by installing Oracle Apps R12,-1
 setup the standby site i.e.,-1
 Database,2
 Mid Tier,-1
 by cloning the same and recover.,-1
 It also involves operations like Switch Over.,-1
 and Fail Over.. By Switch Over we mean Primary to Standby and vice versa.,-1
 By Fail Over we mean the Primary has crashed,-1
 we need to make the Standby as the Primary..,-1
 Client: On Demand Operations,-1
 Oracle Bangalore.,-1
 Team Size: 2.,-1
 Software /Tools: Shell and Expect scripting,-1
 PLSQL.. .,-1
 Roles and Responsibilities:.,-1
 Installation,-1
 Cloning,-1
 Patching of the Oracle Applications R12..,-1
 Conversion of Database from non-RAC to RAC.,2
 Setting up of the Standby..,-1
 Carry out the Switchover,-1
 Fail over and Recovery..     Carryout the whole Recovery Process through the UI.. .,-1
 3) On Demand Service Continuity.,-1
 The project dealt with  Disaster Recovery   Backup  which involves automating checks so that.,-1
 disaster could be prevented.,-1
 Also the recovery of database is involved..,2
 Client: On Demand Operations,-1
 Oracle Bangalore.,-1
 Team Size: 5.,-1
 Software /Tools:.,-1
 Unix Advanced shell scripting and expect.,-1
 (Involves working on Korn Shell).,-1
 Roles and Responsibilities:.,-1
 Automated the checklists for E-business suite and PeopleSoft products.. .,-1
 2) CCB Portal Administration.,-1
 Project Description.,-1
 The new CCB Administration component is an integrated,-1
 web-based application intended to.,-1
 consolidate and simplify the CCB processes for On Demand.,-1
 This application:.,-1
 Makes it easier to manage the process of change implementation in customer instances across.,-1
 the various milestones in the On Demand life cycle.. .,-1
 Simplifies said change implementation by keeping the information organized in a centralized.,-1
 repository.. .,-1
 In the CCB Administration application Release 1.0.,-1
 Client: System Assurance Centre,-1
 Oracle Unites States of America.,-1
 Team Size: 3.,-1
 Software /Tools:.,-1
 PL/SQL and HTML.,2
 Roles and Responsibilities:.,-1
 * Developed the PL/SQL procedures   packages,2
 HTML forms required for the Portal,2
 using HTML.,-1
 for the user to enter the required data.. * The data is entered is validated,-1
 using Java Scripting,2
 and the data is stored in the database.. * Developed the reports.. .,-1
 1) ORACLE PRODUCTION ASSESSMENTS.,-1
 Project Description.,-1
 AUTO VERIFY TOOL.,-1
 Auto Verify is a utility that automates many of the tedious and repetitive tasks that are involved.,-1
 during QA testing of an Oracle Applications Release 11i environment.,-1
 Auto Verify now performs.,-1
 many of the tasks automatically that used to be performed manually..,-1
 Client: System Assurance Centre,-1
 Oracle Unites States of America.,-1
 Team Size: 4.,-1
 Software /Tools:.,-1
 UNIX Advanced Shell Scripting,-1
 PL/SQL.. .,-1
 Roles and Responsibilities:.,-1
 Automated the all the checklists for 8 releases of E-business suite.,-1
Sumit Kubade.,-1
 SAP - FI Support Consultant - SAP FI.,-1
 Pune,-1
 Maharashtra - Email me on Indeed: indeed.com/r/Sumit-Kubade/256d6054d852b2a7.,-1
 Seeking a challenging and rewarding position in SAP FI that will benefit from my experience,-1
.,-1
 professional qualification and excellent communication skills and where I can enrich my skills.,-1
 and management capabilities further while working to achieve the organizational goals.. .,-1
 1.0 Months experience in IT industry..,-1
 I am seeking challenging assignments in a growth oriented organisation..,-1
 Completed graduation B.com (FINANCE) Ability to work overtime,-1
 time management,-1
 and work.,-1
 responsibilities..     ERP knowledge of SAP ECC 6.0IN FI MODULE in UV TECHNOCRATS   SOLUTION.,-1
 With knowledge.,-1
 of (FI organisational structure,-1
 GL creation,-1
 Accounts Payable,-1
 Accounts receivables,-1
 customer.,-1
 master data,-1
 vendor master data   All End user scenario).,-1
 Proficient Knowledge about FI End user scenario and design of configuration of FI sub-modules.,-1
 General Ledger (FI-GL),-1
 Accounts Payable (FI-AP),-1
 Accounts Receivables (FI-AR).,-1
 SAP FINANCE MODULE TECHNICAL  FUNCTIONAL SKILL.,-1
 Enterprise structure: configuration of Define  Assign Company and company code define.,-1
 business area..,-1
 Global setting: Define Field status group,-1
 Fiscal year Variants,-1
 open and close posting.,-1
 period,-1
 document number ranges,-1
 Setting up of document types and posting keys for business.,-1
 transactions..     General ledger: Define chart of account,-1
 Account group,-1
 define tolerance group for GL  .,-1
 employees..     GL end user scenario-creation of GL master data,-1
 knowledge about F 02/FB50 GL invoice.,-1
 posting,-1
 GL Documents recurring document,-1
 park   held document,-1
 reversal document..     Accounts Payable: Creation of vendor a/c group   No ranges.,-1
 Define tolerance group for vendor,-1
.,-1
 creation of sundry creditors GL,-1
 Display of vendor balances,-1
 Define no range for invoice posting,-1
.,-1
 AP end user scenario: creation of customer master,-1
 FB60 /MIRO invoice posting,-1
 Payment,-1
.,-1
 posting Process of partial payment and down payment to vendor..     Customization of APP program for vendors..     Accounts Receivable: Define customer a/c group,-1
 No range for customer a/c,-1
 creation of no.. ranges.,-1
 AR end user scenario: creation of customer master,-1
 FB70 invoice posting,-1
 payment posting.,-1
 process of partial payment down payment to customer..     House bank- Creation of house bank,-1
 creation of cheque lot,-1
 display cheque register,-1
 cheque.,-1
 encashment,-1
 cheque cancellation..     Foreign exchange transaction..     Asset Accounting - Chart of depreciation,-1
 creation of input   output tax code,2
 Define asset.,-1
 class,-1
 Depreciation,-1
.,-1
 Asset master creation,-1
 Asset purchase posting (F 90),-1
 Depreciation run (AFAB),-1
 Sale of asset (f 92).,-1
 Closing Entries - Carry forward the balances of customer   vendor (f.07),-1
 Asset balances ( AJAB),-1
.,-1
 GL balances (F.16),-1
 No range (OBH2) .FSV.. .,-1
 Willing to relocate to: Pune,-1
 Maharashtra.,-1
 https://www.indeed.com/r/Sumit-Kubade/256d6054d852b2a7 isid rex-download ikw download-top co IN.,-1
 WORK EXPERIENCE.,-1
 SAP - FI Support Consultant.,-1
 SAP FI -  Pune,-1
 Maharashtra -.,-1
 June 2016 to Present.,-1
 Roles and Responsibility:.,-1
 Providing production support for SAP FI Module.,-1
 Master data Creation and Changes as when required.,-1
 Interaction with end users for issue resolution.,-1
 Solving issues/tickets with moderate and at times critical impact.,-1
 Proactively discuss on issues with other functional consultants for timely resolution.,-1
 Participation in regular FI team meetings.,-1
 Provide training to end user s as and when required..,-1
 Customizing changes as per new requirement raised by client like House Bank Creation.,-1
 Analyzing and providing solutions on the issues raised by the client.,-1
 Participation in performing year end closing activity.,-1
 Solving of maintenance Issues and Tickets in the area of FI..     Email response to end users..     Clarify and rectify the pending and due issues..,-1
 Resolved User issues on timely basis..     Based on the priority of the issues and the time required to resolve the issue,-1
 issues will be.,-1
 resolved within time bound to meet the SLA..,-1
 Attended KT sessions   updated knowledge with new issues.. .,-1
 As a part of Support Team Involvement in.,-1
 User Support and also End User Training..,-1
 Handled the End user queries through Help desk.,-1
 As per the user communication by mail have.,-1
 to register,-1
 acknowledge,-1
 respond,-1
 resolved,-1
 accept and close the issues..,-1
 The issues include the configuration,-1
 transaction error and program/form modifications..     Configuring payment terms,-1
 Configuring automatic payment program,-1
 Includes House bank.,-1
 configuration..     Configuration for special G/L transactions like down payment made,-1
 down payment received..,-1
 Input Tax Indicator Configuration.. .,-1
 EDUCATION.,-1
 Indian Institute Of Company Secretory Of India (Appeared).,-1
 2014. .,-1
 Maharashtra State Government,-1
 Pune University -  Pune,-1
 Maharashtra.,-1
 2013. .,-1
 B.com.,-1
 Pune University -  Pune,-1
 Maharashtra.,-1
 2012. .,-1
 SKILLS.,-1
 SAP (1 year).,-1
 ADDITIONAL INFORMATION.,-1
 TECHNICAL SKILL.,-1
 ERP Packages: SAP ECC 6.0,-1
 Tally..     Office productivity: Microsoft Word,2
 Excel,2
 Power point..     Operating Systems: Windows,-1
Syam Devendla.,-1
 Bengaluru,-1
 Karnataka - Email me on Indeed: indeed.com/r/Syam-Devendla/.,-1
 c9ba7bc582b14a7b.,-1
 Senior software engineer with more than 9 years of experience in C,-1
 C++,2
 Data.,-1
 Structures programming and BI analytics.,-1
 Experience includes implementation and.,-1
 testing of enterprise and mobile application and middleware component software.. .,-1
 WORK EXPERIENCE.,-1
 SMTS.,-1
 Oracle India -  Bengaluru,-1
 Karnataka -.,-1
 January 2014 to Present.,-1
 with OBIEE team..,-1
 Worked in Samsung R D Operations,-1
 Bangalore since Oct- 2008 to Jan 2014,-1
 with.,-1
 Multimedia team.. .,-1
 EDUCATION.,-1
 Post Graduate Diploma in Embedded Systems.,-1
 CDAC -  Kochi,-1
 Kerala.,-1
 2006. .,-1
 Bachelor of Technology in Electronics and Communications.,-1
 Nagarjuna University.,-1
 2005. .,-1
 SKILLS.,-1
 .NET (Less than 1 year),5
 ALGORITHMS (Less than 1 year),-1
 ALSA (Less than 1 year),-1
 ANDROID.,-1
 (Less than 1 year),-1
 APACHE HADOOP HDFS (Less than 1 year).,-1
 ADDITIONAL INFORMATION.,-1
 Core Competencies.,-1
 Extensively worked in C,2
 C++.,-1
 Good understanding of Data Structures and Algorithms.,-1
 Good understanding and knowledge of BI Analytics of OBIEE..,-1
 Codes at HackerRank.com and am a 4 Star Rank coder in algorithms,-1
 coded.,-1
 using C++ STL.,2
 Hands on experience of GDB Debugger for Core dump analysis and Server.,-1
 https://www.indeed.com/r/Syam-Devendla/c9ba7bc582b14a7b isid rex-download ikw download-top co IN.,-1
 https://www.indeed.com/r/Syam-Devendla/c9ba7bc582b14a7b isid rex-download ikw download-top co IN.,-1
 side debugging..,-1
 Hands on experience of Visual Studio debugger for debugging on Windows.,-1
 platform..,-1
 Working experience of Multithreaded applications for more than eight years.,-1
 Good understanding of OOPS Design principles and STL..,-1
 Experienced in using various debuggers that include GDB debugger,-1
 Eclipse,-1
 VC++ IDE,-1
 Trace.,-1
32,-1
 WinDbg,-1
 Visual Studio..     Good knowledge of Big data technologies(Hadoop,-1
 Yarn Architecture,-1
 map-.,-1
 reduce,-1
 Hive,-1
 Sqoop,-1
 Hbase,-1
 Zookeeper).,-1
 Good experience in Hadoop development and Admin activities..,-1
 Able to understand and review Java and Scala code.,2
 Good Exposure to Software practices,-1
 SDLC..     Good understanding and porting knowledge of framework components..     Good understanding of multimedia concepts,-1
 Audio video synchronization,-1
.,-1
 AudioOut,-1
 AudioIn and video zoom..,-1
 Knowledge of WEBRTC features..     Good knowledge of video Engine..,-1
 Basic knowledge of MFC,-1
 socket programming..     Good knowledge in programming and operating system concepts..,-1
 Experience in working in a project from product development phase to.,-1
 commercialization phase..,-1
 Successfully commercialized more than 25 million mobiles spanning across.,-1
 twenty models..     Good global work exposure having worked in different work environments..,-1
 Basic understanding of Linux Operating system..,-1
 Experienced in design and implementation of Multimedia Applications for.,-1
 Mobile handsets..     Good experience working on Smart Phone platforms(Framework,-1
 Middleware.,-1
 and Application development) having worked on various mobile platforms.,-1
 SHP,-1
 Samsung Bada,-1
 Linux,-1
 WindowsMobile5.0,-1
 SLP,-1
 Android and Tizen.. Syam Prasad Devendla.,-1
 Good knowledge and understanding of different frameworks for multimedia..     Good knowledge of multi-threaded programming and IPC mechanisms..,-1
 Excellent interpersonal and communication skills and ability to work in a team..,-1
 Skilled at learning new concepts quickly,-1
 working well under pressure,-1
 and.,-1
 communicating ideas clearly and effectively..     Tools Used: Beyond Compare,-1
 Samsung memory leak tool,-1
 and Samsung code.,-1
 coverageTool,-1
 VS 2005 Remote Tools,-1
 KlocWork,-1
 WinShark and Ethereal..,-1
 Experienced in working with configuration tools like VSS,-1
 Perforce,-1
 and Clear.,-1
 Case.. .,-1
 Operating Systems: Windows,-1
 Ubuntu Linux.,-1
 Mobile Platforms: SHP,-1
 Bada,-1
 Linux,-1
 WindowsMobile5.0,-1
 SLP and Tizen.,-1
 Technology: Multimedia,-1
 Content,-1
 Mobile Applications.,-1
 Languages: C,2
 C++(Data Structures,-1
 Design Patterns,-1
 STL).,-1
 Tools: Eclipse,-1
 VS2005,-1
 VS2010.,-1
 KlocWork,-1
 Clear case,-1
 Perforce.,-1
 Projects.,-1
 OBIEE.,-1
 Environment: Oracle BI Languages: C++.,-1
 Implementing enhancements,-1
 improving the diagnosabilty and address the customer.,-1
 issues by fixing the code bugs..,2
 Developed a security feature in downloads module to protect the system from DOS.,-1
 attack..,-1
 Implemented a performance enhancer logic in Ibots to execute the agents faster..,-1
 Responsible for fix/enhance Ibot(Delivers/Agent/Schedulers) issues in the product..,-1
 Responsible for fixing the core dump issues reported by customers in the nqscheduler.,-1
 component in linux 32/64 and windows 32/64 platforms..     Oracle-Thirdeye.,-1
 Environment: HDFS,-1
 Yarn,-1
 Hadoop,-1
 map-reduce,-1
 thirdeye-agent.,-1
 GUI is able to provide all information in a usable environment..,2
 Most of the use will be as an embeddable UI in applications like TLP,-1
 DTE,-1
 and Bug DB.,-1
 etc.. .,-1
 Syam Prasad Devendla.,-1
 Provide term,-1
 line number and time indexes for word and phrase search,2
 ability to drill.,-1
 down to a given line number and data around it,-1
 and also have ability to see data.,-1
 around a given time.. .,-1
 Thirdeye-nodes-refresh.,-1
 Environment: HDFS,-1
 Yarn,-1
 Hadoop,-1
 map-reduce.,-1
 All processes for thirdeye including Hadoop components running on the same node.,-1
 This.,-1
 overburdens the master node and leads to frequent failures due to disk space and.,-1
 memory issues,-1
 so worked on POC to replicate entire thirdeye setup with required.,-1
 configuration on new machines.. .,-1
 BI-Manifest-Comparison Tool.,-1
 Environment: Oracle BI Languages: Java.,-1
 Implemented tool to create an excel with manifests data across platforms and painted the.,2
 mismatched versions.,-1
 WebRTC.,-1
 Environment: Browser Languages: C++.,-1
 Media Recorder implementation..     Multi Party communication development..,-1
 Stage Fright (recorder and playback).,-1
 Video engine.,-1
 Peer connection.,-1
 PlatformsY2012-Framework (content).,-1
 Environment: Tizen Languages: C++.,-1
 Developing Tizen framework (content) on SLP..,-1
 File Search.,-1
 Directory Search.,-1
 Playlist and Playlist Manager.,-1
 Supporting Tizen content framework..     PlatformsY2011 -Framework (Multimedia- player).,-1
 Environment: Bada,-1
 Eclipse,-1
 SLP (Samsung Linux Platform) Languages: C++.,-1
 Implemented player framework for Bada OS.,-1
 Audio Player and video Player modules..     POC of AV synchronization for video zoom..,-1
 Supporting Bada2.0 player framework and commercialization..     Movie Studio (Video Editor).,-1
 Environment: Bada,-1
 Eclipse Languages: C++.,-1
 Developed application based on UI guidelines given,-1
 modules like preview,-1
 split and trim.,-1
 forms using VePlayer library..,-1
 Implemented VPL file creation..     Media Browser.,-1
 Environment: Bada,-1
 Eclipse Languages: C,2
 C++.,-1
 This application is developed to check the stability of Bada s player and Audio out.,-1
 modules..,-1
 Audio Player and video Player modules..,-1
 Implemented progress bar of player in both Player Form and PLS Player Form..     Bada-NS(R D).,-1
 Environment: Linux,-1
 SLP (Samsung Linux Platform) Languages: C,2
 C++.,-1
 Worked on launching emulator.,-1
 knowledge of SLP Multimedia Framework.,-1
 Ported Player (Audio and Video) module.,-1
 Ported Audio Out and Audio In modules using ALSA library.,-1
 ETMs Firmware Client: Wabtec Railway Electronics,-1
 German Town.,-1
 Syam Prasad Devendla.,-1
 Environment: Windows XP,-1
 IAR Workbench Hardware: IOC board (Provided by WRE).,-1
 Languages: C.     Serial - Ethernet Bridge.,-1
 Serial communication commands handling..     Supt Link.,-1
 Client: Schindler Elevator   Escalator Corporation.,-1
 Environment: Windows Mobile 5.0,-1
 embedded VC,-1
 Visual Studio 2005.,-1
 Languages: VC++,-1
 MFC.,-1
 A Business application.,-1
 It makes easy for the superintendents to check the status of the.,-1
 elevators and escalators which are newly installed or being maintained and rate them.,-1
 according to their performance and report the same to the Sap server using mobility.,-1
 solutions..     FldLink.,-1
 Client: Schindler Elevator   Escalator Corporation.,-1
 Environment: Windows Mobile 5.0,-1
 embedded VC,-1
 Visual Studio 2005.,-1
 Languages: VC++,-1
 MFC.,-1
 FldLink is a Mobile Application which provides the technicians with a single,-1
.,-1
 comprehensive view of contact information,-1
 meeting schedules,-1
 Technical information.,-1
 and repairing support while working in the field.,-1
Tejasri Gunnam.,-1
 Bengaluru,-1
 Karnataka - Email me on Indeed: indeed.com/r/Tejasri-Gunnam/6ef1426c95ee894c.,-1
 3 years of experience in IT industry,-1
 involved in Software Testing..     Proficient in development of Test Plans,-1
 Functional test scriptsfor Functionality Testing and.,-1
 Integration Testing,-1
 Test Execution,-1
 Defect Reporting,-1
 RegressionTesting..,-1
 Very Good in GUI,-1
 Functional and Performance testing..     Well Acquainted With Bug Tracking Tools like CDETS,-1
 BUG SCRUBBER,-1
 MANTIS,-1
 JIRA.,-1
 Profound Knowledge in Software Testing Life Cycle..     Involved in Preparing Test Cases and Test Reports..,-1
 Knowledge on Quality Standards like ISO.,-1
 CCNA certified.,-1
 Very good knowledge in security testing..,-1
 Knowledge in Python scripting.. .,2
 WORK EXPERIENCE.,-1
 Cisco SystemsIndPvtLtd -  Bengaluru,-1
 Karnataka -.,-1
 September 2012 to Present.,-1
 under the payroll of GoldStone Technologies.,-1
 Agile team Member,-1
 Testing,-1
 Security testing.,-1
 Cisco SystemsIndPvtLtd -  Bengaluru,-1
 Karnataka -.,-1
 September 2012 to Present.,-1
 Duration Sep 2012 - Till date.,-1
 Team Size 15 Members.,-1
 Role Agile team Member,-1
 Testing,-1
 Security testing.,-1
 Description:.,-1
 CSPC is a collector which is integrated with different CSOs (Common Service Objects) like the.,-1
 device discovery CSO,-1
 core collection,-1
 connectivity and data normalization.,-1
 Together we call as.,-1
 CSPC or Common Services Platform Collector.CSPC-NOS is an add-on service which is written.,-1
 on top of the CSPC i.e.,-1
 extra software written by the Nos team based on the CSPC 2.0 base.,-1
 code to cater to a group of customers.,2
 CSPC-NOS support on both Windows and Linux Cent OS.,-1
 platform.,-1
 The Windows CSPC-NOS client can connect to the CSPC-NOS Linux server and vice-.,-1
 versa.,-1
 Devices can be added manually or using the import seed file.,-1
 When importing a seed file/.,-1
 When Device discovery is triggered the Device discovery module collects light inventory data.,-1
 from the devices.,-1
 The light inventory data contain information like Sys Object Id,-1
 device family,-1
.,-1
 OS-version etc.,-1
 (This information collected can be seen by going to Reports- Managed Devices).,-1
 This light inventory data is used by the inventory module to load the model rule for the respective.,-1
 device.,-1
 This data is also used by the base collector to decide whether the device is managed.,-1
 or unmanaged.. .,-1
 Responsibilities:.,-1
 https://www.indeed.com/r/Tejasri-Gunnam/6ef1426c95ee894c isid rex-download ikw download-top co IN.,-1
 Involved Identifying Scenarios to be tested.,-1
 Preparing Test Cases.,-1
 Executing Test Cases.,-1
 Automating Testcases using TCL scripting.,2
 Preparing Progress Report for Sign Off.,-1
 Test Plan.,-1
 Traceability Matrix.,-1
 Order Progression.,-1
 Raising and reporting defects to dev team.,-1
 Defect Management on monthly basis.,-1
 Participated in Defect prevention meetings on quarterly basis to reduce defect density.. Security Testing:.,-1
 Threat Modelling.,-1
 Gap Analysis using CSERV.,2
 Manual Penetration Testing (Proxy testing and SSL scanning).,-1
 Vulnerability Assessment using Nessus and Retina tools.,-1
 DECLARATION.,-1
 I hereby declare that the above-mentioned information is correct up to my knowledge and I bear.,-1
 the responsibility for the correctness of the above-mentioned particulars.. .,-1
 Date:.,-1
 Place:Bangalore ( G Tejasri).,-1
 EDUCATION.,-1
 B.Tech in Electrical and Electronics Engineering.,-1
 Pondicherry University -  Puducherry,-1
 Puducherry.,-1
 M.Tech in Power Electronics and Instrumentation Engineering.,-1
 Jawaharlal Nehru Technological University.,-1
 SKILLS.,-1
 Gap Analysis (5 years),5
 Nessus (5 years),-1
 Security (5 years),-1
 SSL (5 years),-1
 testing (5 years).,-1
 ADDITIONAL INFORMATION.,-1
 SKILL SET.,-1
 Databases: Oracle  SQL Server.,2
 Operating System: MS-DOS,-1
 Windows 98/XP  UNIX,-1
 Windows 7.,-1
 Languages: C,2
 C++.,-1
 Testing Tools: Q.T.P,-1
 Win Runner7.5,-1
 Load Runner 9.5.,-1
 Networking: Hands on Experience On Cisco devices,-1
 AAA,-1
 TACACS,-1
 RADIUS,-1
 VPNs.,-1
 Security: Security scans using Nessus and Retina tools,-1
 Penetration.,-1
 testing using Proxy and SSL scans,-1
 GAP Analysis using CSERV,2
Urshila Lohani.,-1
 Senior Corporate Account Executive - MongoDB.,-1
 Gurgaon,-1
 Haryana - Email me on Indeed: indeed.com/r/Urshila-Lohani/ab8d3dc6dd8b13f0.,-1
 Willing to relocate: Anywhere.,-1
 WORK EXPERIENCE.,-1
 Senior Corporate Account Executive.,-1
 MongoDB -  Gurgaon,-1
 Haryana -.,-1
 May 2016 to Present.,-1
 Designed and implemented a 2-year sales strategy for South India Region  revenues grew 4X..,-1
 Trained sales team of 35 from 20 partner companies  revenues generated through partners.,-1
 increased 50 ..,-1
 Led Business development team of 5 to build pipeline of 4X..     Acquired 32 new accounts with industry leaders including Intuit,-1
 IBM,-1
 Wipro,-1
 McAfee,-1
 Airtel,-1
.,-1
 Religare and Adobe  100  renewals in all existing accounts..,-1
 Initiated,-1
 designed and executed marketing events  attendees included 200 IT heads .,-1
 generated  1M.,-1
 pipeline..     Ranked in top 5  of global sales team of 322  Awarded thrice for highest quarterly revenues.,-1
 in APAC..     Won Excellence Club Award in FY17 and FY18.. .,-1
 Account Manager.,-1
 Red Hat -  Bengaluru,2
 Karnataka -.,-1
 June 2014 to May 2016. .,-1
 Responsible for sales of entire Red Hat Product Portfolio in Mid market and Enterprise Accounts.,2
 in West and South India Region..,-1
 Introduced Customer Success Program  renewals up 20   revenues rose 12 ..,-1
 Formulated sales strategies and achieved  4M in sales..     Won multiple awards (four quarters - highest revenues closed) and (2 consecutive years - 100 .,-1
 Club Award)..,-1
 Improved brand presence in small cities and towns  inducted new partners  revenue driven.,2
 by partner.,-1
 channels up 26 .,-1
 Designed events engaging IT Directors   CxOs  penetrated 7 key accounts  generated  400K.,-1
 pipeline.. .,-1
 Account Manager.,-1
 Oracle -  Noida,-1
 Uttar Pradesh -.,-1
 May 2013 to May 2014. .,-1
 https://www.indeed.com/r/Urshila-Lohani/ab8d3dc6dd8b13f0 isid rex-download ikw download-top co IN.,-1
 Business Development Rep. .,-1
 Oracle -.,-1
 September 2011 to April 2013. .,-1
 Responsible for MySQL,2
 Oracle Linux and VM Sales in North Central US Region..,-1
 Generate opportunities using Linkedin,-1
 Hoovers,-1
 Job Portals,-1
 Marketing Leads and Oracle Install.,-1
 base..     Work closely with Channel Partners,-1
 Resellers and Oracle Internal Counterparts to increase.,-1
 customer base..,-1
 Designed   developed Pipeline Generation kits for Sales team of 12..,-1
 Awarded in Q1 and Q2 FY13 for highest quarterly achievement in the team  100  Annual Quota.,-1
 achieved for FY12 and FY13..     Revamped email marketing campaigns led to 15  higher response rate..,-1
 Initiated a structured mentorship program for MySQL Team  Training times down by 2 Months .,-1
 productivity.,-1
 up 50 .. .,-1
 EDUCATION.,-1
 B Tech Honors in Technical.,-1
 College of Engineering -  Roorkee,-1
 Uttarakhand.,-1
 August 2007 to May 2011,-1
Vamsi krishna.,-1
 hyderbad,-1
 Telangana - Email me on Indeed: indeed.com/r/Vamsi-krishna/15906b55159d4088.,-1
 Willing to relocate to: hyderbad,-1
 Telangana.,-1
 WORK EXPERIENCE.,-1
 Software developer.,-1
 Microsoft.,-1
 Iam need .,-1
 What i am.,-1
 EDUCATION.,-1
 Bsc.,-1
 Shri gnanambika degree college.,-1
 SKILLS.,-1
 Analytics,-1
 Research.,-1
 https://www.indeed.com/r/Vamsi-krishna/15906b55159d4088 isid rex-download ikw download-top co IN,-1
VARUN AHLUWALIA.,-1
 Quantitative Analyst.,-1
 - Email me on Indeed: indeed.com/r/VARUN-AHLUWALIA/725d9b113f3c4f0c.,-1
 WORK EXPERIENCE.,-1
 Software Engineer.,-1
 Tavant -  Bangalore,-1
 Karnataka -.,-1
 April 2005 to April 2006. .,-1
 Implemented online retail sale management solution for industrial manufacturing.,-1
 giant Ingersoll Rand..,-1
 Implemented secondary mortgage solution for leading wholesale lender Ameriquest.. .,-1
 Software Engineer.,-1
 Patni -  Bangalore,-1
 Karnataka -.,-1
 August 2004 to April 2005. .,-1
 Built profitability reports for using Oracle Financial Analytics.,-1
 EDUCATION.,-1
 Master of Science in Financial Mathematics.,-1
 University of Chicago -  Chicago,-1
 IL.,-1
 June 2010. .,-1
 Bachelor of Technology in Civil Engineering.,-1
 Indian Institutes of Technology IIT Kanpur.,-1
 July 2004. .,-1
 ADDITIONAL INFORMATION.,-1
 SKILLS.,-1
 Programming     JAVA,2
 C++,2
 C,2
 Matlab,2
 SQL.,-1
 Operating System     Windows,-1
 Linux.,-1
 https://www.indeed.com/r/VARUN-AHLUWALIA/725d9b113f3c4f0c isid rex-download ikw download-top co IN,-1
Vijayalakshmi Govindarajan.,-1
 SAP as a Consultant - SAP Basis.,-1
 Chennai,-1
 Tamil Nadu - Email me on Indeed: indeed.com/r/Vijayalakshmi-Govindarajan/.,-1
 d71bfb70a66b0046.,-1
 Willing to relocate: Anywhere.,-1
 WORK EXPERIENCE.,-1
 SAP as a Consultant.,-1
 SAP Basis -.,-1
 May 2012 to Present.,-1
 Involved in 3 support Projects and 1 implementation Project..     System Build,-1
 System Refresh,-1
 system upgrade and system maintenance activities..     Self-motivated and goal-oriented,-1
 with a strong ability to organize and prioritize tasks.,-1
 efficiently..,-1
 Excellent team player with good communication,-1
 analytical,-1
 problem solving skills..     Certification Done: Oracle certified Java Programmer.,-1
 Finished Diploma in Java course from NIIT.,2
 EDUCATION.,-1
 MCA in Computer Applications.,-1
 Thiagarajar School of Management -  Madurai,-1
 Tamil Nadu.,-1
 BSc.,-1
 Sri Sathya Sai Institute of Higher Learning -  Anantapur,-1
 Andhra Pradesh.,-1
 HSC.,-1
 TVS Lakshmi Matriculation Higher Secondary School -  Madurai,-1
 Tamil Nadu.,-1
 SSLC.,-1
 TVS Lakshmi Matriculation Higher Secondary School -  Madurai,-1
 Tamil Nadu.,-1
 SKILLS.,-1
 JAVA (6 years),5
 ORACLE (6 years),-1
 SAP (6 years),-1
 ABAP (Less than 1 year),5
 ACCESS (Less than 1. year).,5
 ADDITIONAL INFORMATION.,-1
 TECHNICAL EXPERTISE.,-1
 https://www.indeed.com/r/Vijayalakshmi-Govindarajan/d71bfb70a66b0046 isid rex-download ikw download-top co IN.,-1
 https://www.indeed.com/r/Vijayalakshmi-Govindarajan/d71bfb70a66b0046 isid rex-download ikw download-top co IN.,-1
 Operating System.,-1
 Worked on UNIX AIX and Windows Environment..     Troubleshooting   Identifying OS level Bottle necks..,-1
 Monitoring Top CPU Utilization/Memory Utilization issues at OS-level..     Administrating File system and permission issues at OS-Level..,-1
 Database Administration.,2
 Database administration on Oracle 10 g,2
 11 g,-1
 12 c..,-1
 Monitoring   perform database backup at DB13 level..,2
 Cluster Administration on Oracle 11 g,-1
 12 c... SAP HANA Database Administration.,2
 Monitoring HANA DB and to troubleshoot performance issues using HANA studio..,-1
 Importing and activating views and procedures..     Troubleshooting HANA data and log backup issues..,-1
 Monitoring top CPU Utilization/Memory Utilization issues at OS-level..     SLT Replication of tables from ECC to HANA DB.. Third Party Tools Worked.,-1
 Open text..     PAS - Pay metric Adapters..     TRAX.,-1
 HP,-1
 Service now..     CPS,-1
 Redwood Job scheduling..     Vertex..,-1
 Programming Knowledge.,-1
 C,2
 C++,2
 Core Java,2
 J2EE,-1
 EJB,-1
 Struts.,-1
 Contributions and Achievements.,-1
 Conducted training for New joiners.,-1
 Conducted team meetings and internal training sessions.,-1
 Received  Manager s Choice Award  thrice for managing crisis situation.,-1
 Received  Deep Skill Adder Award  every quarter for taking Personal interest.,-1
